DATA,DIFF,,VLD,Aporte / Saque
11-Feb/25,R$0.00,,"R$59,123.58",
12-Feb/25,R$64.66,,"R$59,188.24",
13-Feb/25,R$125.80,,"R$59,314.04",
14-Feb/25,R$575.90,,"R$59,889.94",
15-Feb/25,R$0.00,,"R$59,889.94",
16-Feb/25,R$0.00,,"R$59,889.94",
17-Feb/25,-R$7.34,,"R$59,882.60",
18-Feb/25,R$374.67,,"R$60,257.27",
19-Feb/25,R$199.70,,"R$60,456.97",
20-Feb/25,R$128.05,,"R$60,585.02",
21-Feb/25,R$406.55,,"R$60,991.57",
22-Feb/25,R$0.00,,"R$60,991.57",
23-Feb/25,R$0.00,,"R$60,991.57",
24-Feb/25,R$217.59,,"R$61,209.16",
25-Feb/25,R$114.75,,"R$61,323.91",
26-Feb/25,-R$262.95,,"R$61,060.96",
27-Feb/25,-R$140.50,,"R$60,920.46",
28-Feb/25,R$722.75,,"R$61,643.21",
01-Mar/25,R$0.00,,"R$61,643.21",
02-Mar/25,R$17.10,,"R$61,660.31",
03-Mar/25,R$0.00,,"R$61,660.31",
04-Mar/25,R$0.00,,"R$61,660.31",
05-Mar/25,-R$363.60,,"R$61,296.71",
06-Mar/25,,,,
07-Mar/25,,,,
08-Mar/25,,,,
09-Mar/25,,,,
10-Mar/25,,,,
11-Mar/25,,,,
12-Mar/25,,,,
13-Mar/25,,,,
14-Mar/25,,,,
15-Mar/25,,,,
16-Mar/25,,,,
17-Mar/25,,,,
18-Mar/25,,,,
19-Mar/25,,,,
20-Mar/25,,,,
21-Mar/25,,,,
22-Mar/25,,,,
23-Mar/25,,,,
24-Mar/25,,,,
25-Mar/25,,,,
26-Mar/25,,,,
27-Mar/25,,,,
28-Mar/25,,,,
29-Mar/25,,,,
30-Mar/25,,,,
31-Mar/25,,,,
01-Apr/25,,,,
02-Apr/25,,,,
03-Apr/25,,,,
04-Apr/25,,,,
05-Apr/25,,,,
06-Apr/25,,,,
07-Apr/25,,,,
08-Apr/25,,,,
09-Apr/25,,,,
10-Apr/25,,,,
11-Apr/25,,,,
12-Apr/25,,,,
13-Apr/25,,,,
14-Apr/25,,,,
15-Apr/25,,,,
16-Apr/25,,,,
17-Apr/25,,,,
18-Apr/25,,,,
19-Apr/25,,,,
20-Apr/25,,,,
21-Apr/25,,,,
22-Apr/25,,,,
23-Apr/25,,,,
24-Apr/25,,,,
25-Apr/25,,,,
26-Apr/25,,,,
27-Apr/25,,,,
28-Apr/25,,,,
29-Apr/25,,,,
30-Apr/25,,,,
01-May/25,,,,
02-May/25,,,,
03-May/25,,,,
04-May/25,,,,
05-May/25,,,,
06-May/25,,,,
07-May/25,,,,
08-May/25,,,,
09-May/25,,,,
10-May/25,,,,
11-May/25,,,,
12-May/25,,,,
13-May/25,,,,
14-May/25,,,,
15-May/25,,,,
16-May/25,,,,
17-May/25,,,,
18-May/25,,,,
19-May/25,,,,
20-May/25,,,,
21-May/25,,,,
22-May/25,,,,
23-May/25,,,,
24-May/25,,,,
25-May/25,,,,
26-May/25,,,,
27-May/25,,,,
28-May/25,,,,
29-May/25,,,,
30-May/25,,,,
31-May/25,,,,
01-Jun/25,,,,
02-Jun/25,,,,
03-Jun/25,,,,
04-Jun/25,,,,
05-Jun/25,,,,
06-Jun/25,,,,
07-Jun/25,,,,
08-Jun/25,,,,
09-Jun/25,,,,
10-Jun/25,,,,
11-Jun/25,,,,
12-Jun/25,,,,
13-Jun/25,,,,
14-Jun/25,,,,
15-Jun/25,,,,
16-Jun/25,,,,
17-Jun/25,,,,
18-Jun/25,,,,
19-Jun/25,,,,
20-Jun/25,,,,
21-Jun/25,,,,
22-Jun/25,,,,
23-Jun/25,,,,
24-Jun/25,,,,
25-Jun/25,,,,
26-Jun/25,,,,
27-Jun/25,,,,
28-Jun/25,,,,
29-Jun/25,,,,
30-Jun/25,,,,
01-Jul/25,,,,
02-Jul/25,,,,
03-Jul/25,,,,
04-Jul/25,,,,
05-Jul/25,,,,
06-Jul/25,,,,
07-Jul/25,,,,
08-Jul/25,,,,
09-Jul/25,,,,
10-Jul/25,,,,
11-Jul/25,,,,
12-Jul/25,,,,
13-Jul/25,,,,
14-Jul/25,,,,
15-Jul/25,,,,
16-Jul/25,,,,
17-Jul/25,,,,
18-Jul/25,,,,
19-Jul/25,,,,
20-Jul/25,,,,
21-Jul/25,,,,
22-Jul/25,,,,
23-Jul/25,,,,
24-Jul/25,,,,
25-Jul/25,,,,
26-Jul/25,,,,
27-Jul/25,,,,
28-Jul/25,,,,
29-Jul/25,,,,
30-Jul/25,,,,
31-Jul/25,,,,
01-Aug/25,,,,
02-Aug/25,,,,
03-Aug/25,,,,
04-Aug/25,,,,
05-Aug/25,,,,
06-Aug/25,,,,
07-Aug/25,,,,
08-Aug/25,,,,
09-Aug/25,,,,
10-Aug/25,,,,
11-Aug/25,,,,
12-Aug/25,,,,
13-Aug/25,,,,
14-Aug/25,,,,
15-Aug/25,,,,
16-Aug/25,,,,
17-Aug/25,,,,
18-Aug/25,,,,
19-Aug/25,,,,
20-Aug/25,,,,
21-Aug/25,,,,
22-Aug/25,,,,
23-Aug/25,,,,
24-Aug/25,,,,
25-Aug/25,,,,
26-Aug/25,,,,
27-Aug/25,,,,
28-Aug/25,,,,
29-Aug/25,,,,
30-Aug/25,,,,
31-Aug/25,,,,
01-Sep/25,,,,
02-Sep/25,,,,
03-Sep/25,,,,
04-Sep/25,,,,
05-Sep/25,,,,
06-Sep/25,,,,
07-Sep/25,,,,
08-Sep/25,,,,
09-Sep/25,,,,
10-Sep/25,,,,
11-Sep/25,,,,
12-Sep/25,,,,
13-Sep/25,,,,
14-Sep/25,,,,
15-Sep/25,,,,
16-Sep/25,,,,
17-Sep/25,,,,
18-Sep/25,,,,
19-Sep/25,,,,
20-Sep/25,,,,
21-Sep/25,,,,
22-Sep/25,,,,
23-Sep/25,,,,
24-Sep/25,,,,
25-Sep/25,,,,
26-Sep/25,,,,
27-Sep/25,,,,
28-Sep/25,,,,
29-Sep/25,,,,
30-Sep/25,,,,
01-Oct/25,,,,
02-Oct/25,,,,
03-Oct/25,,,,
04-Oct/25,,,,
05-Oct/25,,,,
06-Oct/25,,,,
07-Oct/25,,,,
08-Oct/25,,,,
09-Oct/25,,,,
10-Oct/25,,,,
11-Oct/25,,,,
12-Oct/25,,,,
13-Oct/25,,,,
14-Oct/25,,,,
15-Oct/25,,,,
16-Oct/25,,,,
17-Oct/25,,,,
18-Oct/25,,,,
19-Oct/25,,,,
20-Oct/25,,,,
21-Oct/25,,,,
22-Oct/25,,,,
23-Oct/25,,,,
24-Oct/25,,,,
25-Oct/25,,,,
26-Oct/25,,,,
27-Oct/25,,,,
28-Oct/25,,,,
29-Oct/25,,,,
30-Oct/25,,,,
31-Oct/25,,,,
01-Nov/25,,,,
02-Nov/25,,,,
03-Nov/25,,,,
04-Nov/25,,,,
05-Nov/25,,,,
06-Nov/25,,,,
07-Nov/25,,,,
08-Nov/25,,,,
09-Nov/25,,,,
10-Nov/25,,,,
11-Nov/25,,,,
12-Nov/25,,,,
13-Nov/25,,,,
14-Nov/25,,,,
15-Nov/25,,,,
16-Nov/25,,,,
17-Nov/25,,,,
18-Nov/25,,,,
19-Nov/25,,,,
20-Nov/25,,,,
21-Nov/25,,,,
22-Nov/25,,,,
23-Nov/25,,,,
24-Nov/25,,,,
25-Nov/25,,,,
26-Nov/25,,,,
27-Nov/25,,,,
28-Nov/25,,,,
29-Nov/25,,,,
30-Nov/25,,,,
01-Dec/25,,,,
02-Dec/25,,,,
03-Dec/25,,,,
04-Dec/25,,,,
05-Dec/25,,,,
06-Dec/25,,,,
07-Dec/25,,,,
08-Dec/25,,,,
09-Dec/25,,,,
10-Dec/25,,,,
11-Dec/25,,,,
12-Dec/25,,,,
13-Dec/25,,,,
14-Dec/25,,,,
15-Dec/25,,,,
16-Dec/25,,,,
17-Dec/25,,,,
18-Dec/25,,,,
19-Dec/25,,,,
20-Dec/25,,,,
21-Dec/25,,,,
22-Dec/25,,,,
23-Dec/25,,,,
24-Dec/25,,,,
25-Dec/25,,,,
26-Dec/25,,,,
27-Dec/25,,,,
28-Dec/25,,,,
29-Dec/25,,,,
30-Dec/25,,,,
31-Dec/25,,,,
