CORRETORA,,,,Toro,Toro,Binance,Binance,Binance,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,XP,MB,99 Bank,
ASSET,,,,Charles River FIA,Ibovespa,BTC,SOL,SUI,XLU,GLDM,VGK,XLV,IWD,XLC,VIG,CDB 5a 14.1%,LCD 85% - BRDE,Guepardo FIA,Daycoval Classic CP,West Asset BDR,XP CDI Debêntures,Schroder CP HG,Trend Investback,Ibiuna CP,Real Investor FIM,Legacy FIM CP,JGP Deb FIM CP,Tarpon GT 90 FIA,Ascensus 15 18%,Contas Correntes,Resgatados
DATA,TOTAL,DIFF,,R$0.00,R$17.10,R$918.04,-R$68.85,R$103.07,-R$0.12,R$0.06,R$0.00,R$0.00,-R$0.29,-R$0.29,-R$0.12,R$5.05,R$4.70,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$2.31,R$328.86,R$0.00
31-Jan/24,"R$375,783.29","-R$7,308.04",,"R$33,822.12","R$70,925.36","R$3,748.82","R$1,122.81",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$8,359.59",R$0.00,"R$25,597.37",R$0.00,R$0.00,R$0.00,"R$10,742.70",R$71.24,"R$21,444.89",R$0.00,R$0.00,"R$11,575.13","R$4,202.65",R$0.00,"R$9,279.20","R$174,891.41"
29-Feb/24,"R$376,620.46",R$837.17,,"R$33,695.75","R$71,353.20","R$5,696.46","R$1,823.83",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$8,443.15",R$0.00,"R$34,958.92",R$0.00,"R$10,391.55",R$0.00,"R$10,863.92",R$54.91,"R$21,713.96","R$5,689.83",R$0.00,"R$11,861.46","R$8,553.23",R$0.00,"R$6,232.83","R$145,287.46"
31-Mar/24,"R$378,922.53","R$2,302.07",,"R$34,223.29","R$72,704.73","R$5,718.37","R$2,339.84",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$8,536.47",R$0.00,"R$35,054.71",R$0.00,"R$10,612.00",R$0.00,"R$10,980.77",R$55.40,"R$21,971.45","R$5,791.43",R$0.00,"R$11,991.07","R$9,077.17",R$0.00,"R$18,248.36","R$131,617.47"
30-Apr/24,"R$366,115.76","-R$12,806.77",,"R$34,215.11","R$72,420.17","R$4,737.45","R$1,824.91",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$8,630.82",R$0.00,"R$33,259.75",R$0.00,"R$10,409.81","R$7,500.00","R$11,091.60",R$161.07,"R$22,557.78","R$15,641.96","R$7,500.00","R$11,948.95","R$8,892.23",R$0.00,"R$11,328.77","R$103,995.38"
31-May/24,"R$360,363.76","-R$5,752.00",,"R$33,062.61","R$73,276.04","R$5,323.18","R$1,788.78",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$8,726.21",R$0.00,"R$36,195.66",R$0.00,"R$11,101.33","R$7,559.10","R$11,098.42",R$62.00,"R$22,666.51","R$15,746.26","R$7,570.02","R$12,007.83","R$15,527.09",R$0.00,"R$14,435.51","R$84,217.21"
30-Jun/24,"R$356,254.75","-R$4,109.01",,"R$32,944.81","R$72,437.36","R$5,051.27","R$1,597.98",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$8,822.66",R$0.00,"R$36,402.15",R$0.00,"R$12,204.71","R$7,633.38","R$11,200.21",R$161.27,"R$22,860.15","R$20,793.30","R$7,632.73","R$12,067.39","R$15,328.27",R$0.00,"R$10,331.12","R$78,785.99"
31-Jul/24,"R$355,711.94",-R$542.81,,"R$33,924.86","R$73,246.00","R$5,581.13","R$2,097.42",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$8,924.85",R$0.00,"R$37,475.26",R$0.00,"R$14,410.28","R$7,722.01","R$11,324.35",R$228.27,"R$23,081.51","R$20,801.60","R$7,731.71","R$12,273.06","R$15,465.86",R$0.00,"R$13,806.94","R$67,616.83"
31-Aug/24,"R$357,273.34","R$1,561.40",,"R$35,357.63","R$74,810.37","R$5,074.03","R$1,658.60",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$9,023.49",R$0.00,"R$40,263.29",R$0.00,"R$14,932.85","R$7,811.07","R$11,439.50",R$288.43,"R$23,284.26","R$21,074.53","R$7,838.89","R$12,491.76","R$16,486.23",R$0.00,"R$6,795.66","R$68,642.75"
30-Sep/24,"R$346,727.24","-R$10,546.10",,"R$34,081.88","R$73,585.22","R$5,167.90","R$1,731.34",R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,R$0.00,"R$9,123.22",R$0.00,"R$38,249.77",R$0.00,"R$15,094.93","R$7,908.97","R$11,560.09",R$347.18,"R$23,539.10","R$20,985.15","R$7,927.19","R$12,536.77","R$16,252.63",R$0.00,"R$6,144.80","R$62,491.10"
31-Oct/24,"R$341,228.11","-R$5,499.14",,"R$31,733.76","R$70,204.52","R$6,001.02","R$2,023.64",R$0.00,R$138.27,R$71.56,R$133.85,R$57.22,R$191.47,R$149.11,R$115.94,"R$9,238.56",R$0.00,"R$34,679.36","R$20,137.75","R$20,609.98","R$7,991.94","R$11,665.24",R$404.78,"R$23,747.16","R$21,436.18","R$8,010.55","R$12,594.84","R$16,349.20",R$0.00,"R$1,364.19","R$42,178.01"
30-Nov/24,"R$337,019.91","-R$4,208.19",,"R$31,502.40","R$69,416.71","R$8,428.18","R$3,439.54",R$479.67,R$152.17,R$71.73,R$136.74,R$59.62,R$461.29,R$423.70,R$126.14,"R$9,330.89",R$0.00,"R$32,905.36","R$20,264.52","R$23,432.32","R$8,033.73","R$11,667.64",R$464.67,"R$23,836.72","R$21,131.67","R$10,404.45","R$12,624.83","R$14,831.29",R$0.00,"R$9,100.90","R$24,293.03"
31-Dec/24,"R$327,955.28","-R$9,064.63",,"R$30,429.81","R$62,771.89","R$11,951.38","R$1,706.11",R$607.17,R$142.10,R$72.44,R$135.10,R$56.96,R$439.36,R$428.78,R$123.77,"R$9,434.03","R$11,089.63","R$31,447.06","R$20,411.20","R$26,463.80","R$8,099.46","R$11,751.80",R$111.56,"R$23,977.64","R$21,612.43","R$10,434.48","R$12,424.65","R$14,703.09",R$0.00,"R$8,968.05","R$8,161.52"
01-Jan/25,"R$326,945.03","-R$1,010.25",,"R$30,429.81","R$62,018.59","R$11,748.16","R$1,649.38",R$602.72,R$142.10,R$72.32,R$134.48,R$56.90,R$437.13,R$425.87,R$123.46,"R$9,438.96","R$11,093.92","R$31,447.06","R$20,411.20","R$26,463.80","R$8,099.46","R$11,751.80",R$111.56,"R$23,977.64","R$21,612.43","R$10,434.48","R$12,424.65","R$14,703.09",R$0.00,"R$8,970.87","R$8,163.18"
02-Jan/25,"R$328,686.09","R$1,741.06",,"R$30,429.81","R$60,485.94","R$12,093.24","R$1,790.87",R$625.13,R$143.47,R$73.50,R$134.28,R$57.05,R$437.48,R$429.59,R$123.17,"R$9,438.96","R$11,093.92","R$31,444.55","R$20,420.88","R$26,178.37","R$8,103.58","R$11,743.63",R$111.60,"R$23,987.84","R$21,613.54","R$10,439.59","R$12,434.14","R$14,702.17",R$0.00,"R$11,981.81","R$8,167.98"
03-Jan/25,"R$329,183.33",R$497.24,,"R$30,533.65","R$60,949.32","R$12,292.52","R$1,867.40",R$675.10,R$143.86,R$72.39,R$133.58,R$57.25,R$437.48,R$429.48,R$122.99,"R$9,443.91","R$11,098.21","R$31,229.52","R$20,431.51","R$26,078.84","R$8,083.70","R$11,753.90",R$111.66,"R$23,996.27","R$21,537.78","R$10,433.47","R$12,421.12","R$14,679.32",R$0.00,"R$11,985.39","R$8,183.71"
04-Jan/25,"R$328,734.78",-R$448.55,,"R$30,277.56","R$61,161.02","R$12,093.24","R$1,858.51",R$739.32,R$143.80,R$72.33,R$133.64,R$57.19,R$437.79,R$428.56,R$122.93,"R$9,448.85","R$11,102.50","R$31,229.52","R$20,431.51","R$26,078.84","R$8,083.70","R$11,753.90",R$111.66,"R$23,996.27","R$21,537.78","R$10,433.47","R$12,421.12","R$14,679.32",R$0.00,"R$11,713.91","R$8,186.54"
05-Jan/25,"R$328,900.67",R$165.89,,"R$30,277.56","R$61,161.02","R$12,274.63","R$1,834.51",R$747.82,R$143.80,R$72.33,R$133.64,R$57.19,R$437.79,R$428.56,R$122.93,"R$9,448.85","R$11,102.50","R$31,229.52","R$20,431.51","R$26,078.84","R$8,083.70","R$11,753.90",R$111.66,"R$23,996.27","R$21,537.78","R$10,433.47","R$12,421.12","R$14,679.32",R$0.00,"R$11,713.91","R$8,186.54"
06-Jan/25,"R$328,605.61",-R$295.06,,"R$30,277.56","R$61,067.23","R$12,492.12","R$1,885.05",R$745.32,R$141.95,R$71.90,R$135.06,R$57.31,R$440.13,R$432.81,R$123.11,"R$9,448.85","R$11,102.50","R$30,684.28","R$20,431.51","R$26,506.73","R$8,095.79","R$11,753.90",R$111.73,"R$24,014.61","R$21,540.05","R$10,441.54","R$12,421.12","R$14,548.44",R$0.00,"R$11,445.76","R$8,189.25"
07-Jan/25,"R$327,589.11","-R$1,016.50",,"R$29,887.45","R$61,641.24","R$12,023.03","R$1,755.34",R$683.34,R$140.30,R$71.67,R$134.04,R$56.79,R$432.37,R$424.29,R$121.11,"R$9,453.80","R$11,106.80","R$31,289.84","R$20,449.31","R$26,578.09","R$8,102.04","R$10,813.88",R$111.81,"R$24,024.87","R$21,631.70","R$10,452.43","R$12,429.41","R$14,761.23",R$0.00,"R$10,813.88","R$8,199.05"
08-Jan/25,"R$328,345.78",R$756.67,,"R$30,751.75","R$61,242.94","R$11,118.16","R$2,152.69","R$1,235.71",R$141.27,R$72.72,R$134.46,R$57.51,R$435.46,R$424.24,R$122.20,"R$9,458.75","R$11,111.09","R$31,657.12","R$20,457.59","R$26,113.14","R$8,105.38","R$11,766.58",R$111.88,"R$24,042.72","R$21,647.05","R$10,457.73","R$12,429.20","R$14,829.27",R$0.00,"R$10,071.57","R$8,197.59"
09-Jan/25,"R$327,249.61","-R$1,096.17",,"R$30,396.70","R$61,386.32","R$10,861.99","R$2,059.90","R$1,257.62",R$140.29,R$72.22,R$133.53,R$57.11,R$432.44,R$421.30,R$121.35,"R$9,463.70","R$11,115.39","R$31,080.15","R$20,466.92","R$26,121.15","R$8,114.06","R$11,772.39",R$111.93,"R$24,055.97","R$21,694.08","R$10,462.91","R$12,443.17","R$14,725.95",R$0.00,"R$10,074.73","R$8,206.33"
10-Jan/25,"R$326,910.69",-R$338.92,,"R$30,396.70","R$61,134.77","R$11,086.44","R$2,067.44","R$1,367.82",R$139.72,R$73.03,R$132.34,R$56.87,R$426.77,R$415.56,R$119.66,"R$9,468.66","R$11,119.69","R$30,884.57","R$20,478.42","R$25,870.30","R$8,118.42","R$11,794.39",R$111.98,"R$24,067.99","R$21,649.97","R$10,467.77","R$12,448.92","R$14,731.56",R$0.00,"R$10,077.88","R$8,203.04"
11-Jan/25,"R$326,852.76",-R$57.93,,"R$30,396.70","R$61,134.78","R$11,094.33","R$2,068.28","R$1,301.15",R$139.72,R$73.03,R$132.34,R$56.87,R$426.77,R$415.56,R$119.66,"R$9,468.66","R$11,119.69","R$30,884.57","R$20,478.42","R$25,870.30","R$8,118.42","R$11,794.39",R$111.98,"R$24,067.99","R$21,649.97","R$10,467.77","R$12,448.92","R$14,731.56",R$0.00,"R$10,077.88","R$8,203.04"
12-Jan/25,"R$326,852.76",R$0.00,,"R$30,396.70","R$61,134.78","R$11,094.33","R$2,068.28","R$1,301.15",R$139.72,R$73.03,R$132.34,R$56.87,R$426.77,R$415.56,R$119.66,"R$9,468.66","R$11,119.69","R$30,884.57","R$20,478.42","R$25,870.30","R$8,118.42","R$11,794.39",R$111.98,"R$24,067.99","R$21,649.97","R$10,467.77","R$12,448.92","R$14,731.56",R$0.00,"R$10,077.88","R$8,203.04"
13-Jan/25,"R$325,035.05","-R$1,817.71",,"R$30,069.89","R$60,735.49","R$10,745.61","R$1,946.62","R$1,177.97",R$138.27,R$72.43,R$131.86,R$57.71,R$431.42,R$416.40,R$120.68,"R$9,473.61","R$11,123.99","R$30,529.46","R$20,488.46","R$25,717.81","R$8,122.80","R$11,794.94",R$112.03,"R$24,051.95","R$21,635.87","R$10,470.94","R$12,448.56","R$14,427.60",R$0.00,"R$10,387.25","R$8,205.43"
14-Jan/25,"R$325,194.66",R$159.61,,"R$30,071.38","R$60,512.11","R$11,224.85","R$2,038.70","R$1,202.56",R$139.35,R$72.19,R$131.76,R$56.78,R$432.24,R$413.19,R$120.54,"R$9,478.57","R$11,128.30","R$30,436.45","R$20,496.57","R$25,658.06","R$8,128.48","R$11,801.16",R$112.08,"R$24,055.08","R$21,593.50","R$10,473.12","R$12,449.86","R$14,363.74",R$0.00,"R$10,390.58","R$8,213.46"
15-Jan/25,"R$324,390.33",-R$804.33,,"R$30,147.91","R$61,278.68","R$11,455.99","R$2,200.46","R$1,224.91",R$140.48,R$72.51,R$132.57,R$56.69,R$434.91,R$417.04,R$121.35,"R$9,483.54","R$11,132.60","R$30,543.08","R$20,507.13","R$25,393.58","R$8,133.62","R$11,803.58",R$112.14,"R$24,069.41","R$21,676.89","R$10,478.59","R$12,459.39","R$14,426.85",R$0.00,"R$8,261.55","R$8,224.88"
16-Jan/25,"R$327,160.68","R$2,770.35",,"R$31,137.78","R$61,161.02","R$11,426.59","R$2,275.12","R$1,286.80",R$143.67,R$72.98,R$133.78,R$56.88,R$434.52,R$415.34,R$121.54,"R$9,488.50","R$11,136.91","R$31,463.14","R$20,517.39","R$25,787.20","R$8,145.03","R$11,809.48",R$112.19,"R$24,090.87","R$21,729.22","R$10,495.54","R$12,384.50","R$14,837.41",R$0.00,"R$13,744.57","R$2,752.72"
17-Jan/25,"R$327,366.81",R$206.13,,"R$30,668.62","R$61,199.07","R$11,080.49","R$2,349.29","R$1,249.06",R$145.02,R$73.09,R$134.96,R$57.09,R$442.89,R$420.58,R$122.96,"R$9,493.47","R$11,141.22","R$30,854.71","R$20,527.99","R$25,899.67","R$8,140.22","R$11,814.56",R$112.25,"R$24,099.59","R$21,733.44","R$10,502.95","R$12,467.63","R$14,578.45",R$0.00,"R$15,302.77","R$2,754.77"
18-Jan/25,"R$333,096.42","R$5,729.61",,"R$30,668.62","R$61,157.42","R$11,146.90","R$2,791.85","R$1,330.71",R$144.78,R$72.91,R$134.96,R$56.79,R$442.40,R$419.98,R$122.84,"R$9,498.44","R$11,145.53","R$30,854.71","R$20,527.99","R$25,899.67","R$8,140.22","R$11,814.56",R$112.25,"R$24,099.59","R$21,733.44","R$10,502.95","R$12,467.63","R$14,578.45",R$0.00,"R$15,307.22","R$7,923.62"
19-Jan/25,"R$331,047.18","-R$2,049.25",,"R$30,668.62","R$61,157.42","R$10,795.12","R$2,703.85","R$1,159.52",R$144.78,R$72.91,R$134.96,R$56.79,R$442.40,R$419.98,R$122.84,"R$9,498.44","R$11,145.53","R$30,854.71","R$20,527.99","R$25,899.67","R$8,140.22","R$11,814.56",R$112.25,"R$24,099.59","R$21,733.44","R$10,502.95","R$12,467.63","R$14,578.45",R$0.00,"R$13,869.61","R$7,922.95"
20-Jan/25,"R$331,047.18",R$0.00,,"R$30,668.62","R$61,157.42","R$10,795.12","R$2,703.85","R$1,159.52",R$144.78,R$72.91,R$134.96,R$56.79,R$442.40,R$419.98,R$122.84,"R$9,498.44","R$11,145.53","R$30,854.71","R$20,527.99","R$25,899.67","R$8,140.22","R$11,814.56",R$112.25,"R$24,099.59","R$21,733.44","R$10,502.95","R$12,467.63","R$14,578.45",R$0.00,"R$13,869.61","R$7,922.95"
21-Jan/25,"R$332,013.34",R$966.17,,"R$30,770.76","R$61,621.20","R$11,074.30","R$2,625.95","R$1,165.80",R$144.38,R$72.70,R$134.59,R$56.63,R$441.17,R$418.81,R$122.50,"R$9,503.41","R$11,149.84","R$31,221.29","R$20,537.99","R$26,079.69","R$8,143.62","R$11,820.12",R$112.30,"R$24,126.55","R$21,563.17","R$10,506.53","R$12,463.14","R$14,769.13",R$0.00,"R$13,446.57","R$7,921.32"
22-Jan/25,"R$332,507.22",R$493.88,,"R$30,851.52","R$61,364.45","R$10,853.60","R$2,817.46","R$1,159.83",R$141.59,R$73.27,R$135.69,R$56.68,R$438.32,R$421.26,R$122.14,"R$9,508.39","R$11,154.15","R$31,429.08","R$20,559.75","R$26,386.20","R$8,153.38","R$11,829.42",R$112.40,"R$24,143.84","R$21,568.75","R$10,518.50","R$12,437.46","R$14,884.17",R$0.00,"R$13,450.55","R$7,935.37"
23-Jan/25,"R$333,347.90",R$840.68,,"R$30,901.21","R$61,041.09","R$10,972.25","R$2,743.41","R$1,120.22",R$141.65,R$72.82,R$136.31,R$57.20,R$439.39,R$420.38,R$122.35,"R$9,513.37","R$11,158.47","R$31,448.09","R$20,572.03","R$26,282.53","R$8,156.88","R$11,835.55",R$112.45,"R$24,164.91","R$21,646.27","R$10,521.18","R$12,458.14","R$14,915.07",R$0.00,"R$14,454.53","R$7,940.15"
24-Jan/25,"R$333,334.81",-R$13.08,,"R$30,901.21","R$61,041.09","R$10,972.25","R$2,743.41","R$1,120.22",R$140.52,R$72.23,R$135.22,R$56.74,R$435.88,R$417.03,R$121.37,"R$9,513.37","R$11,158.47","R$31,448.09","R$20,572.03","R$26,282.53","R$8,156.88","R$11,835.55",R$112.45,"R$24,164.91","R$21,646.27","R$10,521.18","R$12,458.14","R$14,915.07",R$0.00,"R$14,454.53","R$7,938.16"
25-Jan/25,"R$327,115.95","-R$6,218.86",,"R$30,521.93","R$60,722.28","R$10,917.56","R$2,763.13","R$1,069.78",R$141.99,R$72.71,R$135.75,R$56.86,R$435.47,R$420.98,R$121.31,"R$9,518.35","R$11,162.78","R$31,210.31","R$20,581.90","R$26,333.67","R$8,160.72","R$11,840.45",R$112.50,"R$24,175.66","R$21,586.58","R$10,522.92","R$12,448.71","R$14,875.14",R$0.00,"R$14,451.52","R$2,754.99"
26-Jan/25,"R$332,241.48","R$5,125.53",,"R$30,521.93","R$60,722.28","R$10,899.80","R$2,739.52","R$1,059.41",R$141.99,R$72.71,R$135.75,R$56.86,R$435.47,R$420.98,R$121.31,"R$9,518.35","R$11,162.78","R$31,210.31","R$20,581.90","R$26,333.67","R$8,160.72","R$11,840.45",R$112.50,"R$24,175.66","R$21,586.58","R$10,522.92","R$12,448.71","R$14,875.14",R$0.00,"R$14,451.52","R$7,932.26"
27-Jan/25,"R$330,942.29","-R$1,299.19",,"R$30,521.93","R$60,034.59","R$10,568.77","R$2,507.40",R$982.41,R$136.85,R$72.36,R$136.85,R$58.02,R$437.09,R$426.06,R$121.20,"R$9,523.33","R$11,167.10","R$31,215.68","R$20,581.90","R$26,234.14","R$8,166.95","R$11,846.59",R$112.55,"R$24,194.60","R$21,569.53","R$10,528.82","R$12,469.16","R$14,950.67",R$0.00,"R$14,448.40","R$7,929.35"
28-Jan/25,"R$331,660.10",R$717.81,,"R$31,125.92","R$59,675.54","R$10,394.06","R$2,413.09",R$934.94,R$136.76,R$72.54,R$135.70,R$57.69,R$434.21,R$425.02,R$120.79,"R$9,528.32","R$11,171.42","R$32,158.56","R$20,602.93","R$25,656.05","R$8,170.27","R$11,852.18",R$112.60,"R$24,205.38","R$21,730.75","R$10,531.11","R$12,463.80","R$15,167.05",R$0.00,"R$14,452.63","R$7,930.79"
29-Jan/25,"R$331,303.87",-R$356.23,,"R$30,719.49","R$59,487.40","R$10,561.88","R$2,456.11",R$955.23,R$136.22,R$71.89,R$135.05,R$57.07,R$431.11,R$424.54,R$119.88,"R$9,533.31","R$11,175.74","R$31,886.84","R$20,612.89","R$25,973.06","R$8,174.79","R$11,857.60",R$112.66,"R$24,223.97","R$21,742.83","R$10,536.14","R$12,481.02","R$15,066.05",R$0.00,"R$14,436.67","R$7,934.44"
30-Jan/25,"R$332,154.67",R$850.80,,"R$30,780.57","R$60,326.66","R$10,714.53","R$2,509.58","R$1,052.36",R$140.13,R$73.46,R$137.35,R$58.12,R$438.55,R$428.10,R$120.71,"R$9,538.30","R$11,180.07","R$31,693.08","R$20,623.41","R$25,721.53","R$8,172.16","R$11,863.72",R$112.70,"R$24,234.57","R$21,774.66","R$10,540.51","R$12,488.02","R$15,044.27",R$0.00,"R$14,441.23","R$7,946.33"
31-Jan/25,"R$333,750.07","R$1,595.40",,"R$31,557.46","R$59,592.41","R$10,680.09","R$2,506.11","R$1,042.78",R$137.63,R$72.75,R$134.72,R$57.19,R$430.22,R$424.45,R$120.03,"R$9,543.29","R$11,184.73","R$32,634.85","R$20,632.96","R$25,870.81","R$8,172.04","R$11,872.66",R$112.76,"R$24,245.87","R$21,837.42","R$10,535.48","R$12,532.99","R$15,410.56",R$0.00,"R$14,445.80","R$7,962.01"
01-Feb/25,"R$334,760.17","R$1,010.10",,"R$31,557.46","R$60,629.47","R$10,712.76","R$2,488.03",R$984.83,R$137.63,R$72.75,R$134.72,R$57.19,R$430.22,R$424.45,R$120.03,"R$9,548.29","R$11,189.39","R$32,634.85","R$20,632.96","R$25,870.81","R$8,172.04","R$11,872.66",R$112.76,"R$24,245.87","R$21,837.42","R$10,535.48","R$12,532.99","R$15,410.56",R$0.00,"R$14,450.36","R$7,964.19"
02-Feb/25,"R$332,962.03","-R$1,798.14",,"R$31,557.46","R$60,629.47","R$9,617.32","R$2,051.05",R$714.54,R$137.63,R$72.75,R$134.72,R$57.19,R$430.22,R$424.45,R$120.03,"R$9,548.29","R$11,189.39","R$32,634.85","R$20,632.96","R$25,870.81","R$8,172.04","R$11,872.66",R$112.76,"R$24,245.87","R$21,837.42","R$10,535.48","R$12,532.99","R$15,410.56",R$0.00,"R$14,454.93","R$7,964.19"
03-Feb/25,"R$333,738.70",R$776.67,,"R$31,557.46","R$59,792.97","R$11,454.05","R$2,209.60",R$934.25,R$138.84,R$73.70,R$133.68,R$57.98,R$431.89,R$429.84,R$120.59,"R$9,548.29","R$11,189.39","R$32,261.36","R$20,632.96","R$25,607.98","R$8,180.34","R$11,879.24",R$112.82,"R$24,257.67","R$21,870.91","R$10,535.48","R$12,531.27","R$15,376.61",R$0.00,"R$14,459.50","R$7,960.04"
04-Feb/25,"R$332,447.17","-R$1,291.53",,"R$31,002.29","R$59,120.91","R$11,182.43","R$2,258.93",R$960.82,R$136.46,R$73.33,R$133.45,R$56.88,R$426.99,R$426.47,R$119.20,"R$9,553.29","R$11,194.05","R$32,501.92","R$20,656.77","R$25,302.48","R$8,194.10","R$11,885.16",R$112.87,"R$24,263.50","R$21,929.12","R$10,556.02","R$12,555.52","R$15,421.45",R$0.00,"R$14,455.75","R$7,967.00"
05-Feb/25,"R$331,171.84","-R$1,275.33",,"R$31,023.82","R$58,776.97","R$10,831.69","R$2,065.81",R$838.80,R$137.79,R$73.94,R$135.06,R$57.59,R$430.00,R$422.87,R$120.33,"R$9,558.29","R$11,198.72","R$32,258.60","R$20,666.12","R$25,210.62","R$8,198.63","R$11,891.79",R$112.93,"R$24,277.56","R$22,006.06","R$10,560.35","R$12,557.91","R$15,326.81",R$0.00,"R$14,460.31","R$7,972.48"
06-Feb/25,"R$317,699.04","-R$13,472.80",,"R$30,820.95","R$58,309.61","R$10,923.20","R$2,039.26",R$789.36,R$137.34,R$73.59,R$135.48,R$56.87,R$428.96,R$423.87,R$119.81,"R$9,563.29","R$11,203.39","R$31,861.18","R$20,677.38","R$25,444.91","R$8,200.63","R$11,896.91",R$112.98,"R$24,294.65","R$21,886.26","R$10,566.69","R$12,554.31","R$15,332.59",R$0.00,"R$1,878.86","R$7,966.72"
07-Feb/25,"R$315,358.09","-R$2,340.95",,"R$31,238.14","R$57,892.42","R$10,758.56","R$2,023.21",R$753.36,R$136.28,R$73.32,R$133.58,R$56.34,R$424.09,R$420.58,R$118.21,"R$9,568.30","R$11,208.06","R$32,046.35","R$20,687.32","R$25,388.91","R$8,207.10","R$11,901.56",R$175.89,"R$24,310.32","R$21,950.74","R$10,572.00","R$12,570.05","R$15,428.87",R$0.00,"R$1,879.60","R$5,434.92"
08-Feb/25,"R$315,358.09",R$0.00,,"R$31,238.14","R$57,892.42","R$10,758.56","R$2,023.21",R$753.36,R$136.28,R$73.32,R$133.58,R$56.34,R$424.09,R$420.58,R$118.21,"R$9,568.30","R$11,208.06","R$32,046.35","R$20,687.32","R$25,388.91","R$8,207.10","R$11,901.56",R$175.89,"R$24,310.32","R$21,950.74","R$10,572.00","R$12,570.05","R$15,428.87",R$0.00,"R$1,879.60","R$5,434.92"
09-Feb/25,"R$318,885.62","R$3,527.53",,"R$31,238.14","R$58,717.26","R$10,837.43","R$2,101.33",R$768.54,R$136.28,R$73.32,R$133.58,R$56.34,R$424.09,R$420.58,R$118.21,"R$9,573.31","R$11,212.73","R$32,046.35","R$20,687.32","R$25,388.91","R$8,207.10","R$11,901.56",R$175.89,"R$24,310.32","R$21,950.74","R$10,572.00","R$12,570.05","R$15,428.87","R$2,524.50","R$1,873.70","R$5,437.16"
10-Feb/25,"R$318,614.80",-R$270.82,,"R$30,825.00","R$59,123.58","R$10,974.44","R$2,120.76",R$818.06,R$138.38,R$74.85,R$135.03,R$56.53,R$426.93,R$424.38,R$119.53,"R$9,573.31","R$11,212.73","R$31,673.01","R$20,697.89","R$25,385.78","R$8,202.96","R$11,907.45",R$175.97,"R$24,328.79","R$21,916.94","R$10,571.70","R$12,569.59","R$15,322.71","R$2,525.65","R$1,874.42","R$5,438.43"
11-Feb/25,"R$318,616.10",R$1.30,,"R$30,825.00","R$59,123.58","R$10,974.44","R$2,120.76",R$818.06,R$138.33,R$74.83,R$134.98,R$56.51,R$426.78,R$424.24,R$119.49,"R$9,573.31","R$11,212.73","R$31,673.01","R$20,697.89","R$25,385.78","R$8,202.96","R$11,907.45",R$175.97,"R$24,328.79","R$21,916.94","R$10,571.70","R$12,569.59","R$15,322.71","R$2,526.79","R$1,875.14","R$5,438.34"
12-Feb/25,"R$320,093.37","R$1,477.28",,"R$31,311.63","R$59,188.24","R$10,860.83","R$2,032.02",R$887.60,R$138.67,R$74.55,R$136.88,R$56.20,R$424.94,R$424.77,R$119.39,"R$9,583.34","R$11,222.08","R$32,378.45","R$20,720.14","R$25,451.52","R$8,222.82","R$11,921.48",R$176.16,"R$24,366.57","R$21,981.65","R$10,585.06","R$12,603.57","R$15,621.27","R$2,527.94","R$1,642.08","R$5,433.53"
13-Feb/25,"R$318,604.35","-R$1,489.03",,"R$30,773.68","R$59,314.04","R$10,691.09","R$2,010.79",R$873.99,R$139.14,R$216.28,R$138.39,R$56.63,R$428.63,R$428.05,R$120.24,"R$9,588.35","R$11,226.76","R$31,836.34","R$20,731.84","R$25,373.12","R$8,229.80","R$11,927.94",R$176.26,"R$24,376.92","R$21,850.02","R$10,594.34","R$12,583.95","R$15,445.88","R$2,529.09","R$6,839.77",R$103.03
14-Feb/25,"R$322,064.68","R$3,460.33",,"R$30,650.11","R$59,889.94","R$10,677.26","R$2,067.65",R$875.66,R$137.35,R$211.07,R$137.69,R$55.50,R$424.82,R$430.15,R$118.91,"R$9,593.37","R$11,231.44","R$32,034.71","R$20,741.36","R$25,636.78","R$8,227.27","R$11,933.12",R$176.35,"R$24,395.08","R$21,912.46","R$10,598.69","R$12,602.20","R$15,632.82","R$2,530.23","R$9,043.25",R$99.43
